mean sst,stdev sst,n,satellite date,requested lon min,requested lon max,requested lat min,requested lat max,requested date,median sst,mad sst
27.543558226691353,0.2408795118126218,36,2010-12-07,51.183,51.383,-15.021,-15.221,14947,27.515029907226563,0.2142537528991699
27.544745635986327,0.24527469272572788,30,2010-12-07,51.214999999999996,51.415,-15.022,-15.222,14947,27.503196716308594,0.21903844985961912
27.525142606099447,0.26280379100229534,30,2010-12-07,51.239,51.439,-15.002,-15.202,14947,27.491004943847656,0.30038253993988034
27.492606290181477,0.22834841332129455,30,2010-12-07,51.268,51.468,-15.005,-15.205,14947,27.484909057617188,0.15949272651672364
27.46968027750651,0.17360059471091516,30,2010-12-07,51.292,51.492000000000004,-14.986,-15.186,14948,27.4813232421875,0.14939169960021972
27.425262641906738,0.20032775212742626,30,2010-12-07,51.308,51.508,-15.006,-15.206,14948,27.46482753753662,0.18448089122772215
27.461155319213866,0.1759438857655718,25,2010-12-07,51.299,51.499,-15.008000000000001,-15.208,14948,27.484909057617188,0.13716414070129393
27.489470587836372,0.22466908836734867,36,2010-12-07,51.289,51.489000000000004,-15.02,-15.219999999999999,14948,27.484909057617188,0.161620672416687
27.489470587836372,0.22466908836734867,36,2010-12-07,51.289,51.489000000000004,-15.02,-15.219999999999999,14948,27.484909057617188,0.161620672416687
27.525142606099447,0.26280379100229534,30,2010-12-07,51.243,51.443000000000005,-15.008000000000001,-15.208,14949,27.491004943847656,0.30038253993988034
27.531983799404568,0.250597283845807,36,2010-12-07,51.227,51.427,-14.969000000000001,-15.169,14949,27.491004943847656,0.24934294452667236
27.540012253655327,0.23235947783479427,36,2010-12-07,51.236,51.436,-14.942,-15.142,14949,27.491004943847656,0.1664053693771362
27.525979423522948,0.19174328664006068,30,2010-12-07,51.243,51.443000000000005,-14.883000000000001,-15.083,14950,27.474509239196777,0.15577270946502686
27.474768426683212,0.21407623563280254,36,2010-12-07,51.24,51.440000000000005,-14.864,-15.064,14950,27.4235897064209,0.21744496479034423
27.432625770568848,0.206274310108762,30,2010-12-07,51.268,51.468,-14.841000000000001,-15.041,14950,27.3981294631958,0.1855469850540161
27.38175686427525,0.22875603168586867,35,2010-12-07,51.269999999999996,51.47,-14.818,-15.017999999999999,14950,27.380199432373047,0.18076087417602538
27.384552199265052,0.21325735857619837,29,2010-12-07,51.25,51.45,-14.793000000000001,-14.993,14951,27.407453536987305,0.22116780967712402
27.38073229108538,0.19697633098355155,35,2010-12-07,51.248,51.448,-14.765,-14.965,14951,27.39382553100586,0.153115958404541
27.29010053362165,0.17237659071173778,35,2010-12-07,51.263,51.463,-14.704,-14.904,14951,27.31206703186035,0.15949555435180662
27.32122633797782,0.1977131707030226,35,2010-12-07,51.241,51.441,-14.639000000000001,-14.839,14951,27.31206703186035,0.15949555435180662
27.341635404314314,0.23384037473493782,35,2010-12-07,51.272999999999996,51.473,-14.597,-14.796999999999999,14952,27.322824478149414,0.2636984493255615
27.322864638434517,0.22038835321851458,36,2010-12-07,51.303,51.503,-14.551,-14.751,14952,27.317445755004883,0.22382314682006835
27.277116139729817,0.2161162539055756,30,2010-12-07,51.333999999999996,51.534,-14.540000000000001,-14.74,14952,27.2572021484375,0.2025578269958496
27.258218394385445,0.20421179383450705,36,2010-12-07,51.347,51.547000000000004,-14.526,-14.725999999999999,14952,27.21811580657959,0.1701268003463745
27.325892713334824,0.23448380787835507,36,2010-12-07,51.318,51.518,-14.522,-14.722,14953,27.317087173461914,0.2535974224090576
27.4065678914388,0.22129640710990878,30,2010-12-07,51.298,51.498000000000005,-14.497,-14.697,14953,27.39956283569336,0.25891375236511227
27.535171190897625,0.18906139411844608,36,2010-12-07,51.248999999999995,51.449,-14.455,-14.655,14953,27.53798007965088,0.2163816987991333
